=== Información de circuitos ejecutados ===
Circuito: e0_b0_t49.py | Registros clásicos: c396 - c401 | Iteración: 1 | Batch: 3
Circuito: e0_b0_t4.py | Registros clásicos: c402 - c407 | Iteración: 1 | Batch: 3
Circuito: e0_b0_t13.py | Registros clásicos: c408 - c413 | Iteración: 1 | Batch: 3
Circuito: e0_b0_t16.py | Registros clásicos: c414 - c419 | Iteración: 1 | Batch: 3
Circuito: e0_b0_t93.py | Registros clásicos: c420 - c425 | Iteración: 1 | Batch: 3
Circuito: e0_b0_t99.py | Registros clásicos: c426 - c431 | Iteración: 1 | Batch: 3
Circuito: e0_b0_t90.py | Registros clásicos: c432 - c437 | Iteración: 1 | Batch: 3
Circuito: e0_b0_t3.py | Registros clásicos: c438 - c443 | Iteración: 1 | Batch: 3
Circuito: e0_b0_t21.py | Registros clásicos: c444 - c449 | Iteración: 1 | Batch: 3
Circuito: e0_b0_t19.py | Registros clásicos: c450 - c455 | Iteración: 1 | Batch: 3
Circuito: e0_b0_t1.py | Registros clásicos: c456 - c461 | Iteración: 1 | Batch: 3
Circuito: e0_b0_t23.py | Registros clásicos: c462 - c467 | Iteración: 1 | Batch: 3
Circuito: e0_b0_t24.py | Registros clásicos: c468 - c473 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t22.py | Registros clásicos: c474 - c479 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t18.py | Registros clásicos: c480 - c485 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t25.py | Registros clásicos: c486 - c491 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t15.py | Registros clásicos: c492 - c497 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t14.py | Registros clásicos: c498 - c503 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t20.py | Registros clásicos: c504 - c509 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t31.py | Registros clásicos: c510 - c515 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t27.py | Registros clásicos: c516 - c521 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t76.py | Registros clásicos: c522 - c527 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t30.py | Registros clásicos: c528 - c533 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t26.py | Registros clásicos: c534 - c539 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t28.py | Registros clásicos: c540 - c545 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t74.py | Registros clásicos: c546 - c551 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t9.py | Registros clásicos: c552 - c557 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t33.py | Registros clásicos: c558 - c563 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t35.py | Registros clásicos: c564 - c569 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t34.py | Registros clásicos: c570 - c575 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t0.py | Registros clásicos: c576 - c581 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t17.py | Registros clásicos: c582 - c587 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t29.py | Registros clásicos: c588 - c593 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t32.py | Registros clásicos: c594 - c599 | Iteración: 1 | Batch: 4
